web-scraper-order,web-scraper-start-url,hos_tlz,hos_tlz-href,rAy_ting,roomz,dormz,prO_mO__bR
"1541100918-607","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Miami Beach Bikini Hostel Cafe & Beer Garden","https://www.hostelworld.com/hosteldetails.php/Miami-Beach-Bikini-Hostel-Cafe-and-Beer-Garden/Miami/55045?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=6","8.8","£70.64","£14.13","This property has been  booked 8 times  today."
"1541100945-611","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Beds&Drinks","https://www.hostelworld.com/hosteldetails.php/Beds-and-Drinks/Miami/79901?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=2","8.8","£24.33","null","This property has been  booked 4 times  today."
"1541100932-609","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Miami Beach International Hostel","https://www.hostelworld.com/hosteldetails.php/Miami-Beach-International-Hostel/Miami/1815?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=4","8.9","£22.76","null","This property has been  booked 12 times  today."
"1541100873-601","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Zenmotel MIMO","https://www.hostelworld.com/hosteldetails.php/Zenmotel-MIMO/Miami/284434?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=12","8.6","£87.28","£26.69","Selling Out Soon"
"1541100843-596","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Miami Springs Inn","https://www.hostelworld.com/hosteldetails.php/Miami-Springs-Inn/Miami/61626?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=17","2.9","£54.16","null","This property has been  booked 2 times  today."
"1541100891-604","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","The Tropics Hotel and Hostel","https://www.hostelworld.com/hosteldetails.php/The-Tropics-Hotel-and-Hostel/Miami/50?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=9","8.7","£82.02","£19.23","This property has been  booked 5 times  today."
"1541100896-605","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Posh South Beach","https://www.hostelworld.com/hosteldetails.php/Posh-South-Beach/Miami/72163?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=8","8.1","£26.69","null","Selling Out Soon"
"1541100951-612","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Generator Miami","https://www.hostelworld.com/hosteldetails.php/Generator-Miami/Miami/290379?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=1","9.3","£201.32","£28.96","This property has been  booked 7 times  today."
"1541100861-599","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Leamington Hotel-Downtown/Port of Miami","https://www.hostelworld.com/hosteldetails.php/Leamington-Hotel-Downtown-Port-of-Miami/Miami/44652?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=14","5.1","£85.55","null","Selling Out Soon"
"1541100903-606","https://www.hostelworld.com/search?search_keywords=Miami%2C+USA&country=USA&city=Miami&date_from=2018-11-02&date_to=2018-11-03&number_of_guests=1&ShowAll=1","Ocean Blue Hostel","https://www.hostelworld.com/hosteldetails.php/Ocean-Blue-Hostel/Miami/32098?dateFrom=2018-11-02&dateTo=2018-11-03&number_of_guests=1&sc_pos=7","7.4","£12.36","null","This property has been  booked 3 times  today."
